Patient_ID	Gene	Value	Hypermethylated
TCGA-C8-A9FZ	AKT1	0.0154	FALSE
TCGA-D8-A1J8	AKT1	0.0182	FALSE
TCGA-D8-A1J9	AKT1	0.01615	FALSE
TCGA-D8-A1JA	AKT1	0.0153	FALSE
TCGA-D8-A1JB	AKT1	0.01915	FALSE
TCGA-D8-A1JC	AKT1	0.0166	FALSE
TCGA-D8-A1JD	AKT1	0.013850000000000001	FALSE
TCGA-D8-A1JE	AKT1	0.014700000000000001	FALSE
TCGA-D8-A1JF	AKT1	0.015	FALSE
TCGA-D8-A1JG	AKT1	0.0333	FALSE
TCGA-D8-A1JH	AKT1	0.15525	TRUE
TCGA-D8-A1JI	AKT1	0.014750000000000001	FALSE
TCGA-D8-A1JJ	AKT1	0.0148	FALSE
TCGA-D8-A1JK	AKT1	0.016	FALSE
TCGA-D8-A1JL	AKT1	0.01575	FALSE
TCGA-D8-A1JM	AKT1	0.01765	FALSE
TCGA-D8-A1JN	AKT1	0.01485	FALSE
TCGA-D8-A1JP	AKT1	0.0158	FALSE
TCGA-D8-A1JS	AKT1	0.01455	FALSE
TCGA-D8-A1JT	AKT1	0.0133	FALSE
TCGA-D8-A1JU	AKT1	0.0137	FALSE
TCGA-D8-A1X5	AKT1	0.017599999999999998	FALSE
TCGA-D8-A1X6	AKT1	0.01555	FALSE
TCGA-D8-A1X7	AKT1	0.016050000000000002	FALSE
TCGA-D8-A1X8	AKT1	0.0148	FALSE
TCGA-D8-A1X9	AKT1	0.01825	FALSE
TCGA-D8-A1XA	AKT1	0.017	FALSE
TCGA-D8-A1XB	AKT1	0.01895	FALSE
TCGA-D8-A1XC	AKT1	0.01815	FALSE
